id,first_name,last_name,age,salary,previous_company
1,Julieta,Raynton,27,28582,FALSE
2,Jaine,Dinzey,47,25611,FALSE
3,Marlo,Helder,54,23682,TRUE
4,Andreana,Alvares,53,22250,TRUE
5,Carmelle,Donet,999,22345,Missing
6,Pooh,Dalgardno,999,Nil,TRUE
7,Chancey,Winckle,34,Nil,Missing
8,Travers,Stuer,25,15644,FALSE
9,Dinny,Sands-Allan,41,10025,TRUE
10,Aloin,McSpirron,51,17042,FALSE
11,Tabbitha,Burgill,37,18480,FALSE
12,Nessy,Ferrer,54,14752,FALSE
13,Henrie,Ridges,43,15402,FALSE
14,Palm,Shiels,45,26834,FALSE
15,Shaughn,Fust,54,24016,TRUE
16,Lauritz,Calow,42,14955,TRUE
17,Cherianne,Niles,40,27826,TRUE
18,Rebeca,Pentin,28,25360,FALSE
19,Aggy,Jessep,24,15458,FALSE
20,Cori,Andryushchenko,52,14246,FALSE
